"Station_ID (PK,FK)",EV_Level1_EVSE_Num,EV_Level2_EVSE_num,EV_DC_Fast_Count,EV_Onsite_Renewable_sources
122256,,,20,
122257,,,16,
122258,,,8,
122267,,,20,
122268,,,8,
122269,,,10,
122274,,,10,
122276,,,8,
122277,,,8,
122278,,,8,
122280,,,6,
122284,,,12,
122286,,,8,
122287,,,16,
122288,,,16,
122294,,,12,
122299,,,12,
122301,,,12,
122302,,,20,
122313,,,16,
122314,,,20,
122315,,,16,
122316,,,20,
122317,,,8,
122318,,,8,
122320,,,8,
122321,,,10,
122327,,,8,
122330,,,10,
122336,,,4,
122337,,,12,
122338,,,16,
122340,,,20,
122347,,,8,
122354,,3,,
122355,,2,,
122356,,4,,
122361,,2,,
122362,,2,,
122363,,1,,
122364,,4,,
122365,,1,,
122367,,2,,
122506,,4,,
122507,,3,,
122508,,1,,
122509,,2,,
122510,,2,,
122511,,3,,
122512,,20,,
122513,,20,,
122514,,6,,
122515,,10,,
122516,,2,,
122517,,1,,
122530,,3,,
122531,,3,,
122532,,1,,
122534,,2,,
122535,,2,,
122536,,10,,
122537,,10,,
122538,,10,,
122539,,2,,
122541,,2,,
122777,,2,,
122831,,1,,
122927,,1,,
122928,,4,,
122929,,2,,
122930,,2,,
122931,,1,,
122932,,3,,
122933,,8,,
122934,,2,,
122935,,2,,
122937,,14,,
122941,,2,,
122951,1,,,
123005,,1,,
123006,,2,,
123034,,1,,
123475,,2,,
123476,,2,,
123541,,1,,
123574,,1,2,
123575,,1,2,
123576,,1,2,
123577,,1,2,
123630,,1,,
123678,,2,,
123707,,2,,
123763,,2,,
123987,,2,,
124131,,1,,
124825,,2,,
125755,,2,,
126265,,2,,
126635,,2,,
129365,,2,,
129376,,4,,
129381,,8,,
129398,,7,,
129404,,1,1,
129406,,1,,
129423,,4,,
129429,,3,,
129456,,2,,
129457,,1,,
129459,,1,,
129460,,2,,
129461,,2,,
129462,,2,,
129463,,1,,
129464,,2,1,
129465,,2,,
129466,,1,,
129468,,2,,
129469,,2,,
129470,,2,,
129472,,2,1,
129474,,2,,
129475,,2,1,
129476,,2,,
129477,,2,,
129478,,1,,
129479,,4,,
129480,,4,,
129481,,2,1,
129482,,2,2,
129483,,1,1,
129484,,2,,
129485,,4,,
129486,,3,,
129487,,2,,
129488,,2,1,
129490,,2,1,
129491,,1,,
129492,,2,,
129493,,2,,
129494,,3,,
129495,,3,,
129497,,2,1,
129499,,2,1,
129500,,2,1,
129503,,1,,
129504,,6,,
129505,,1,1,
129506,,4,,
129507,,2,,
129510,,1,,
129512,,8,,
129513,,2,1,
129514,,2,,
129519,,2,1,
129520,,2,,
129521,,8,,
129522,,2,1,
129523,,2,1,
129525,,2,,
129527,,10,,
129530,,4,,
129531,,2,,
129532,,5,,
129533,,6,1,
129534,,4,,
129538,,2,,
129539,,2,,
129543,,2,,
129544,,2,,
129545,,4,1,
129546,,5,,
129547,,2,1,
129549,,4,,
129550,,3,,
129552,,8,,
129553,,2,1,
129554,,1,1,
129555,,2,,
129556,,2,,
129557,,2,2,
129558,,4,,
129560,,2,2,
129561,,1,1,
129562,,2,,
129563,,1,,
129565,,2,1,
129567,,2,,
129568,,2,,
129569,,1,,
129570,,1,,
129571,,2,,
129572,,1,1,
129573,,2,1,
129574,,2,,
129575,,2,,
129577,,2,,
129578,,2,,
129579,,2,,
129580,,2,,
129581,,2,,
129582,,4,,
129583,,2,,
129587,,2,,
129588,,1,,
129589,,1,,
129590,,2,,
129591,,4,,
129592,,2,,
129593,,1,2,
129594,,1,,
129595,,2,,
129596,,2,,
129597,,1,,
129598,,1,1,
129599,,1,1,
129602,,1,,
129603,,2,,
129604,,1,1,
129606,,1,,
129608,,1,1,
129609,,4,,
129610,,1,,
129611,,2,,
129612,,1,,
129613,,1,1,
129616,,2,,
129617,,2,,
129618,,2,,
129620,,2,,
129621,,3,,
129622,,2,,
129623,,1,,
129624,,2,,
129627,,1,,
129629,,2,,
129630,,2,,
129632,,2,,
129633,,4,,
129636,,1,,
129637,,2,,
129638,,2,,
129639,,2,,
129640,,1,,
129641,,1,,
129643,,2,,
129644,,1,,
129645,,1,1,
129646,,3,,
129647,,1,,
129648,,2,,
129649,,2,,
129650,,2,,
129651,,4,,
129652,,2,,
129653,,2,,
129654,,2,,
129656,,1,,
129657,,2,,
129658,,2,,
129660,,3,,
129661,,2,1,
129662,,2,,
129665,,1,,
129666,,2,,
129667,,2,,
129669,,3,,
129671,,2,,
129672,,3,,
129673,,2,,
129674,,2,1,
129675,,1,,
129676,,2,,
129677,,4,,
129678,,2,,
129679,,2,,
129680,,2,,
129681,,6,,
129682,,2,,
129683,,4,,
129685,,1,,
129686,,2,,
129687,,4,,
129688,,1,,
129691,,2,,
129692,,3,,
129693,,2,,
129694,,3,,
129695,,4,,
129696,,4,,
129697,,5,,
129698,,2,,
129700,,1,,
129701,,11,,
129702,,4,,
129703,,5,,
129704,,4,,
129705,,4,,
129706,,3,,
129707,,2,1,
129708,,4,,
129710,,8,,
129712,,2,,
129713,,1,,
129714,,1,,
129715,,4,,
129717,,2,,
129718,,2,,
129719,,2,,
129720,,4,,
129721,,2,,
129722,,4,,
129725,,2,,
129727,,2,,
129728,,2,,
129729,,2,,
129730,,1,,
129732,,2,,
129733,,2,,
129734,,2,,
129736,,3,,
129738,,1,,
129739,,4,,
129740,,4,,
129741,,4,,
129742,,3,,
129744,,4,,
129746,,2,,
129747,,2,,
129749,,2,,
129750,,4,,
129752,,2,,
129753,,1,,
129754,,1,1,
129755,,2,1,
129756,,6,,
129757,,2,,
129759,,1,,
129760,,2,,
129761,,2,,
129762,,2,1,
129764,,1,,
129765,,1,,
129766,,2,,
129767,,1,,
129768,,3,,
129769,,2,,
129772,,2,,
129773,,2,,
129774,,2,,
129776,,2,,
129778,,2,,
129779,,1,1,
129780,,2,,
129781,,2,,
129782,,2,,
129783,,2,,
129784,,2,,
129786,,1,,
129787,,2,,
129788,,4,,
129789,,2,,
129790,,1,,
129791,,2,,
129792,,8,,
129793,,2,,
129794,,2,,
129795,,2,,
129799,,2,,
129800,,8,,
129801,,4,,
129802,,1,1,
129805,,1,,
129806,,1,,
129808,,1,1,
129810,,2,,
129812,,1,,
129813,,1,,
129816,,1,,
129817,,1,,
129818,,2,,
129819,,2,,
129820,,2,,
129821,,1,,
129823,,1,1,
129828,,2,1,
129832,,1,,
129835,,1,1,
129837,,2,,
129838,,3,,
129839,,3,,
129841,,1,1,
129843,,2,,
129844,,2,,
129845,,1,,
129846,,1,,
129847,,1,,
129848,,1,,
129849,,1,,
129850,,9,3,
129851,,4,,
129852,,2,,
129853,,3,,
129854,,2,,
129855,,2,,
129856,,4,,
129857,,4,,
129859,,2,,
129861,,1,,
129862,,2,,
129863,,4,,
129864,,2,,
129865,,1,,
129866,,1,,
129867,,1,,
129868,,2,,
129869,,4,,
129870,,2,,
129871,,5,,
129872,,4,1,
129874,,1,,
129875,,1,,
129876,,1,,
129878,,5,,
129879,,2,,
129881,,2,,
129885,,4,,
129886,,2,,
129888,,4,,
129892,,1,,
129893,,2,,
129894,,2,,
129895,,2,,
129896,,2,,
129897,,3,,
129900,,1,,
129901,,1,,
129903,,2,1,
129904,,3,,
129905,,2,,
129906,,2,,
129907,,1,,
129909,,2,,
129910,,2,,
129912,,1,,
129914,,1,1,
129915,,1,,
129918,,2,,
129919,,1,,
129920,,2,,
129921,,2,,
129922,,1,,
129923,,1,,
129926,,4,,
129927,,2,,
129928,,4,,
129929,,2,,
129930,,2,,
129931,,16,,
129932,,2,,
129934,,2,,
129937,,2,,
129938,,2,,
129939,,6,,
129940,,4,,
129941,,3,,
